comment_text,status,is_seed
"Bus schedules should be published with real-time delay updates.",approved,true
"Peak-hour bus lanes should be enforced consistently.",approved,true
"Transfer wait times between metro and bus lines should be reduced.",approved,true
"Route redesign should prioritize workers with long commutes.",approved,true
"Night transport should run more frequently in dense districts.",approved,true
"Accessibility upgrades are needed at older metro stations.",approved,true
"Public transport performance targets should be reported monthly.",approved,true
"Fare payment should support one tap across all transport modes.",approved,true
"School-area crossings need safer traffic-calming measures.",approved,true
"Suburban routes should have guaranteed first and last trips.",approved,true
"Passenger complaints should receive a case number and resolution date.",approved,true
"Maintenance downtime should be tracked publicly by line and route.",approved,true
"Timetable changes should be announced at least two weeks in advance.",approved,true
"Station signage should be bilingual and easier to follow.",approved,true
"Operators should publish route-level on-time performance data.",approved,true
