comment_text,status,is_seed
"Primary care clinics should publish average appointment wait times.",approved,true
"Referral processes between clinics and hospitals should be simplified.",approved,true
"Patients should receive clear cost estimates before non-urgent procedures.",approved,true
"Rural telemedicine coverage should be expanded with reliable support lines.",approved,true
"Hospital discharge instructions should be standardized and easy to understand.",approved,true
"Medication stock-outs should trigger rapid public alerts.",approved,true
"Quality audits should include patient experience indicators.",approved,true
"Emergency departments need queue transparency for families.",approved,true
"Digital appointment reminders should reduce missed visits.",approved,true
"Mental health services should be integrated into primary care pathways.",approved,true
"Provider performance dashboards should be accessible to the public.",approved,true
"Preventive screening programs should target underserved neighborhoods first.",approved,true
"Complaint handling should include response deadlines and escalation paths.",approved,true
"Interpreter services should be available for non-native speakers.",approved,true
"Care coordination should improve for patients with chronic conditions.",approved,true
