comment_text,status,is_seed
"Core public services should be available through a single account.",approved,true
"Service portals should clearly show processing stages and expected dates.",approved,true
"Digital forms should save progress to prevent repeated data entry.",approved,true
"Authentication should support secure but low-friction login options.",approved,true
"Accessibility compliance should be audited for all government websites.",approved,true
"Call-center support should be synchronized with online case tracking.",approved,true
"Status notifications should be sent by email and SMS.",approved,true
"Digital service outages should be logged on a public incident page.",approved,true
"Data-sharing between agencies should reduce duplicate document requests.",approved,true
"Service design should include usability testing with older adults.",approved,true
"Multilingual support should be standard for high-demand services.",approved,true
"Application rejection reasons should be specific and actionable.",approved,true
"Open APIs should enable trusted civic tech integrations.",approved,true
"Security updates should be documented without exposing sensitive details.",approved,true
"User feedback loops should drive quarterly service improvements.",approved,true
