comment_text,status,is_seed
"Waste collection schedules should be reliable and easy to access.",approved,true
"Neighborhood recycling points should be expanded and clearly labeled.",approved,true
"Illegal dumping reports should include response time commitments.",approved,true
"Air quality sensors should cover both central and peripheral areas.",approved,true
"Construction permits should enforce dust and noise mitigation plans.",approved,true
"Organic waste pilots should include household education campaigns.",approved,true
"Landfill dependency should be reduced with measurable diversion targets.",approved,true
"Public procurement should prioritize low-emission service providers.",approved,true
"Tree canopy loss should be tracked and publicly reported.",approved,true
"School programs should include practical waste sorting training.",approved,true
"Waterway cleanup plans should publish milestones and budgets.",approved,true
"Environmental fines should be transparent and consistently enforced.",approved,true
"District-level climate risk assessments should guide infrastructure spending.",approved,true
"Citizen reporting apps should support photo evidence and case tracking.",approved,true
"Seasonal heat action plans should focus on vulnerable populations.",approved,true
