external_id,comment_text,status,is_seed
fa247ebe-e476-489f-9357-908aba1e855a,Public transport reliability should be tracked with monthly public dashboards.,approved,true
9081edd1-1aab-4b57-afea-de23b5c58a39,We need clearer service-level targets for volunteer onboarding speed.,approved,true
66a8dca6-c3be-42a6-aa9a-f8ae9d7ea21a,Funding for neighborhood safety improvements should prioritize high-need districts.,approved,true
a3bd96ff-2914-40be-8e4e-f937cb0f7066,Teams should publish implementation milestones for healthcare appointment waiting times.,approved,true
9e1dfd0b-e271-4490-926c-4e5115832e60,Residents should be consulted before major changes in digital government services.,approved,true
83e30978-373a-478b-8e47-2e520061e01c,Independent audits would improve trust in affordable housing policies decisions.,approved,true
937be64f-1d96-47b2-9f39-7d33bff05efd,Road safety near schools should be tracked with monthly public dashboards.,approved,true
9aa19aa5-2b13-4acf-99fb-a6eed44ccfdb,We need clearer service-level targets for air quality monitoring.,approved,true
f4f2c4da-5751-447b-af86-3480e96a9fba,Funding for water infrastructure upgrades should prioritize high-need districts.,approved,true
a9d3693a-8e24-49e1-b11b-61fa9bb8bcb4,Teams should publish implementation milestones for small business licensing process.,approved,true
64b68ea0-5847-4871-84ea-3f02646d6539,Residents should be consulted before major changes in youth employment opportunities.,approved,true
7eb6c08d-e6d4-4b40-8645-882ac31c93f8,Independent audits would improve trust in waste management standards decisions.,approved,true
af6161eb-5ba3-4ee4-9ec4-522809c75404,Public procurement transparency should be tracked with monthly public dashboards.,approved,true
16551baf-5e0d-4661-89a2-d32d1deee0fa,We need clearer service-level targets for local budget participation.,approved,true
5c810c4f-bd9e-4442-bb62-a319acaf443e,Funding for access for people with disabilities should prioritize high-need districts.,approved,true
e5a541b8-3613-432b-8505-b3f8b53bd296,Teams should publish implementation milestones for regional internet access.,approved,true
0dd570eb-151f-429e-a774-c8d2f0bfda99,Residents should be consulted before major changes in teacher training support.,approved,true
9fe9c617-4b16-4c4a-976c-de883b16cbac,Independent audits would improve trust in emergency response readiness decisions.,approved,true
8e3a98ac-214f-4b35-a5f9-f09e558bb719,Community mediation programs should be tracked with monthly public dashboards.,approved,true
1546a631-6e0b-465e-9634-6fa545214720,We need clearer service-level targets for public park maintenance.,approved,true
bda2faf3-f5da-4be9-bfec-cd264282617c,Funding for public transport reliability should prioritize high-need districts.,approved,true
f96d95ae-84dd-4c87-87b4-16a01e36735d,Teams should publish implementation milestones for volunteer onboarding speed.,approved,true
d1da6033-0418-4347-8329-d09dec535604,Residents should be consulted before major changes in neighborhood safety improvements.,approved,true
e8dbc6c2-8a1b-489f-be6c-4c4292ce7298,Independent audits would improve trust in healthcare appointment waiting times decisions.,approved,true
e5e5fe1b-7b41-45ec-b0e1-69a79253f557,Digital government services should be tracked with monthly public dashboards.,approved,true
5a408259-a001-40e6-b2c0-de6ed2bc462f,We need clearer service-level targets for affordable housing policies.,approved,true
