comment_text,status,is_seed
"Affordable housing eligibility rules should be easier to understand.",approved,true
"Application processing times should be published by district.",approved,true
"Rental assistance should prioritize households at immediate eviction risk.",approved,true
"New housing projects should include transparent unit allocation criteria.",approved,true
"Public waiting lists should show anonymized queue progress.",approved,true
"Accessibility standards should be required in all subsidized developments.",approved,true
"Tenant support services should be co-located with housing offices.",approved,true
"Inspection schedules should be predictable and publicly reported.",approved,true
"Vacancy turnaround times should be measured and reduced.",approved,true
"Land-use approvals should include affordable housing impact reviews.",approved,true
"Short-term rental policy should protect long-term local housing supply.",approved,true
"Energy efficiency upgrades should lower utility costs for low-income tenants.",approved,true
"Dispute mediation should be available before formal eviction action.",approved,true
"Developers receiving incentives should meet clear affordability targets.",approved,true
"Housing data should be open for independent monitoring.",approved,true
