comment_text,status,is_seed
"პირველ რიგში საჭიროა დამოუკიდებელი სასამართლო და გამჭვირვალე დანიშვნები.",approved,true
"ევროკავშირთან ინტეგრაციის გეგმა უნდა იყოს საჯარო და ეტაპებად გაწერილი.",approved,true
"საჯარო ტრანსპორტი თბილისში და რეგიონებში უნდა იყოს უფრო სწრაფი და სანდო.",approved,true
"სოფლებში წყლისა და კანალიზაციის ინფრასტრუქტურა ჯერ კიდევ სუსტია.",approved,true
"ჯანდაცვაში რიგები და მომსახურების ხარისხი უნდა გაუმჯობესდეს.",approved,true
"განათლებაში მასწავლებლების ხელფასი და გადამზადება პრიორიტეტია.",approved,true
"კორუფციასთან ბრძოლა უნდა ეხებოდეს ყველა დონეს, განსაკუთრებით ტენდერებს.",approved,true
"პოლიტიკური პოლარიზაცია აზიანებს გადაწყვეტილების მიღებას.",approved,true
"ადგილობრივი თვითმმართველობებისთვის მეტი ფინანსური დამოუკიდებლობაა საჭირო.",approved,true
"რეგიონებში ახალგაზრდებისთვის სამუშაო ადგილები არ კმარა.",approved,true
"ელექტროენერგიის ფასები და ტარიფები უფრო სამართლიანად უნდა განისაზღვროს.",approved,true
"გარემოს დაცვა და ნარჩენების მართვა სერიოზულად უნდა გაძლიერდეს.",approved,true
"საზოგადოებრივ უსაფრთხოებაზე მეტი პრევენცია და ნაკლები რეპრესიაა საჭირო.",approved,true
"ტურიზმის განვითარება არ უნდა ხდებოდეს ისტორიული გარემოს დაზიანების ხარჯზე.",approved,true
"ბიზნესის დაწყება რეგიონებში რთულია ბიუროკრატიის გამო.",approved,true
"მედიის თავისუფლება და ინფორმაციის ხელმისაწვდომობა უნდა იყოს დაცული.",approved,true
"IDP-ების საცხოვრებელი პროგრამები უნდა იყოს გრძელვადიანი და მდგრადი.",approved,true
"ქალაქებში საცხოვრებელი ფასები სწრაფად იზრდება და ახალგაზრდებს აზიანებს.",approved,true
"სასწავლო პროგრამები უნდა მოერგოს შრომის ბაზრის რეალურ მოთხოვნებს.",approved,true
"საჯარო სერვისების ციფრულიზაცია ჯერ კიდევ არასაკმარისია.",approved,true
"საგზაო უსაფრთხოება რეგიონულ გზებზე საგანგებო პრობლემაა.",approved,true
"სოფლის მეურნეობის სუბსიდიები უნდა იყოს გამჭვირვალე და მიზნობრივი.",approved,true
"ენერგეტიკული პროექტები უნდა შეფასდეს გარემოზე ზემოქმედების მიხედვით.",approved,true
"ქალაქებში მწვანე სივრცეები სწრაფად იკარგება ახალი მშენებლობებით.",approved,true
"მცირე ბიზნესს სჭირდება დაბალპროცენტიანი კრედიტები.",approved,true
"ინფლაცია ყველაზე მეტად დაბალშემოსავლიან ოჯახებს აზარალებს.",approved,true
"არჩევნების ადმინისტრირება უნდა იყოს უფრო ნეიტრალური.",approved,true
"სამართალდამცავ ორგანოებში ანგარიშვალდებულება უნდა გაიზარდოს.",approved,true
"ქვეყანას სჭირდება გრძელვადიანი ტრანსპორტის სტრატეგია.",approved,true
"სოციალური დახმარების სისტემა უკეთ უნდა მიზნობრივდებოდეს.",approved,true
"კულტურის დაფინანსება რეგიონებში არასაკმარისია.",approved,true
"საკანონმდებლო პროცესში მეტი საჯარო კონსულტაციაა საჭირო.",approved,true
"წყლის რესურსების მართვა უნდა იყოს სტრატეგიული და გამჭვირვალე.",approved,true
"მოსახლეობას სჭირდება უფრო ხელმისაწვდომი ბინათმშენებლობის პროგრამები.",pending,false
"საზოგადოებრივ მაუწყებელში უფრო მრავალფეროვანი დებატები უნდა იყოს.",pending,false
"საჯარო შესყიდვებში კონკურენცია ხშირად ფორმალურია.",pending,false
"რეგიონებში მაღალსიჩქარიანი ინტერნეტი ჯერაც არაა ყველა სოფელში.",pending,false
"მეგობრული ბიზნესგარემო ქმნის ახალ სამუშაო ადგილებს.",pending,false
"ჯანდაცვის დაზღვევა ხშირად არ ფარავს რეალურ ხარჯებს.",pending,false
"სასწავლო გრანტები უნდა იყოს რეგიონებისთვის უფრო ხელმისაწვდომი.",pending,false
"ქალაქებში ჰაერის ხარისხი რეგულარულად უნდა მონიტორინგდეს.",pending,false
"სოფლის გზები ხშირად უვარგისია სეზონური ამინდის გამო.",pending,false
"დიპლომატიური ურთიერთობები მეზობელ ქვეყნებთან უნდა იყოს პროგნოზირებადი.",rejected,false
"პოლიტიკოსები ყოველთვის ტყუიან და არაფერი იცვლება.",rejected,false
"საჯარო სამსახურში ყველა დანიშვნა მხოლოდ ნაცნობობით ხდება.",rejected,false
"ყველა არჩევნები წინასწარ გაყალბებულია.",rejected,false
"ქვეყანას არანაირი გამოსავალი არ აქვს.",rejected,false
