comment_text,status,is_seed
"Entry-level job programs should align with current market demand.",approved,true
"Internship opportunities should be distributed fairly across districts.",approved,true
"Career counseling should start earlier in secondary schools.",approved,true
"Vocational training should include digital and data literacy modules.",approved,true
"Employers should publish transparent criteria for junior roles.",approved,true
"Apprenticeship subsidies should reward verified job retention outcomes.",approved,true
"Public job platforms should offer better filtering by skill level.",approved,true
"Youth entrepreneurship support should include practical mentorship.",approved,true
"Training completion should link directly to interview opportunities.",approved,true
"Regional youth centers should have consistent staffing and hours.",approved,true
"Transportation support should be included for low-income trainees.",approved,true
"Certification pathways should be recognized across employers.",approved,true
"Outcome tracking should measure wages and job stability after training.",approved,true
"Programs should accommodate part-time learners with flexible schedules.",approved,true
"Youth-focused labor market data should be updated quarterly.",approved,true
